T_K,P_atm,solver_used,iterations,residual_norm,n_Ar,n_Ar_p,n_Ar2_p,n_Ar3_p,n_Ar4_p,n_e,charge_residual,eos_residual_Pa,deltaP_DH_Pa
2500.0,4.0,custom_newton,4,1.6309424946339153e-11,1.1742303800795378e+25,24231408750.170704,1.729876060262844e-29,1.879178989699517e-95,4.0975829246899843e-199,24231408750.170704,0.0,6.610178388655186e-06,1.1889081802129237e-16
2700.0,4.0,custom_newton,4,8.669851173223994e-12,1.0872503519171219e+25,373116969377.56885,2.60409460015197e-25,2.4579156501953683e-86,3.221497681115843e-182,373116969377.56885,0.0,3.513938281685114e-06,6.9125127264797006e-15
2900.0,4.0,custom_newton,4,4.8263081892730475e-12,1.0122675690216748e+25,3946184625340.791,1.0482138397562098e-21,1.8010332445424678e-78,1.2080131026380076e-167,3946184625340.791,0.0,1.955893822014332e-06,2.29412683755092e-13
3100.0,4.0,custom_newton,4,2.796145650053887e-12,9.469599839161526e+24,30824695346244.418,1.4556798533918532e-18,1.2904593647227553e-71,6.071882280279833e-155,30824695346244.418,0.0,1.1327792890369892e-06,4.844150936678781e-12
3300.0,4.0,custom_newton,4,1.6750618708749135e-12,8.895684697066332e+24,187887355051395.84,8.460080679721945e-16,1.378931901183071e-65,8.950607500084184e-144,187887355051395.84,0.0,6.786431185901165e-07,7.065447656721418e-11
3500.0,4.0,custom_newton,4,1.035852315651461e-12,8.387359855718108e+24,932410953651902.6,2.388340522325986e-13,3.043402177183768e-60,7.079978228139663e-134,932410953651902.6,0.0,4.1979365050792694e-07,7.584506924803862e-10
3700.0,4.0,custom_newton,4,6.60286295586346e-13,7.933989046677951e+24,3894757827722975.0,3.681068036989787e-11,1.7909390878735347e-55,4.825571392122507e-125,3894757827722975.0,0.0,2.675224095582962e-07,6.297528626713466e-09
3900.0,4.0,custom_newton,4,4.285617069478102e-13,7.527117792782495e+24,1.4060725844845256e+16,3.399018236925087e-09,3.4424689978067617e-51,4.129829437793588e-117,1.4060725844845256e+16,0.0,1.73225998878479e-07,4.207553349753535e-08
4100.0,4.0,custom_newton,4,2.8786947129226606e-13,7.159941252204288e+24,4.4816768652932824e+16,2.0263686219981546e-07,2.5451032345329425e-47,6.009386957475094e-110,4.4816768652932824e+16,0.0,1.1565862223505974e-07,2.3351737818447182e-07
4300.0,4.0,custom_newton,4,1.961522595648484e-13,6.826920557674677e+24,1.2832492826715045e+17,8.289264698527116e-06,8.267514489187731e-44,1.9029182289768946e-103,1.2832492826715045e+17,0.0,7.84057192504406e-08,1.1047973950908366e-06
4500.0,4.0,custom_newton,4,1.3625802298488063e-13,6.52350144187679e+24,3.3482197404024736e+17,0.0002446231763023307,1.316454145517592e-40,1.6063608411949856e-97,3.3482197404024736e+17,0.0,5.320180207490921e-08,4.551609509553675e-06
4700.0,4.0,custom_newton,4,1.0067907694604088e-13,6.245904666079502e+24,8.055471015795402e+17,0.005428964556477017,1.125240382312629e-37,4.2781098163957435e-92,8.055471015795402e+17,0.0,3.888271749019623e-08,1.662025964772579e-05
4900.0,4.0,custom_newton,4,7.858854185623822e-14,5.990967717911767e+24,1.8048671626981517e+18,0.09381758645228538,5.570695085889453e-35,4.138738698176175e-87,1.8048671626981517e+18,0.0,2.8463546186685562e-08,5.45908868270501e-05
5100.0,4.0,custom_newton,4,5.012193603853688e-14,5.75602368198224e+24,3.7975716231573565e+18,1.299996851389199,1.703106569893904e-32,1.6380206019535438e-82,3.7975716231573565e+18,0.0,1.909211277961731e-08,0.00016331429345446276
5300.0,4.0,custom_newton,4,5.542888467634643e-14,5.53880743940109e+24,7.557099853036768e+18,14.808572910722809,3.3953887388611666e-30,2.933928169074784e-78,7.557099853036768e+18,0.0,1.5425030142068863e-08,0.0004497230323307136
5500.0,4.0,custom_newton,4,5.887511495181118e-14,5.337382214429748e+24,1.4309587501444024e+19,141.65995241064203,4.624498506769312e-28,2.592577591292134e-74,1.4309587501444024e+19,0.0,1.0011717677116394e-08,0.0011502961106229816
5700.0,4.0,custom_newton,4,2.3018272860793232e-14,5.150081446621177e+24,2.5917127590171754e+19,1159.03789521578,4.478645757109328e-26,1.2172684319101525e-70,2.5917127590171754e+19,-4096.0,8.207280188798904e-09,0.0027541855565299082
5900.0,4.0,custom_newton,4,2.3471675298553947e-14,4.975462330827544e+24,4.510167368156139e+19,8240.273548690348,3.1927287696720626e-24,3.2379486936704876e-67,4.510167368156139e+19,-16384.0,5.238689482212067e-09,0.0062146017925793435
6100.0,4.0,custom_newton,4,2.230899983122358e-14,4.812268330722323e+24,7.570875993860973e+19,51612.553476384135,1.7265098902273176e-22,5.1592992425802175e-64,7.570875993860973e+19,-98304.0,4.773028194904327e-09,0.013292436851502255
6300.0,4.0,custom_newton,4,1.2939789154929771e-14,4.65939866097204e+24,1.2300788678886477e+20,288242.0623439812,7.270604515626177e-21,5.1699583421201104e-61,1.2300788678886564e+20,294912.0,3.3760443329811096e-09,0.02708815874153889
6500.0,4.0,custom_newton,4,1.9438719608804313e-14,4.515883232789349e+24,1.9402421643398706e+20,1450524.2487308574,2.4398758026255674e-19,3.400162665773877e-58,1.940242164339898e+20,-163840.0,3.259629011154175e-09,0.052829628062948907
6700.0,4.0,custom_newton,4,4.119138197191643e-14,4.3808619235848643e+24,2.9789429504103036e+20,6638805.937013406,6.658396238310254e-18,1.5239101266407501e-55,2.978942950410431e+20,-589824.0,2.852175384759903e-09,0.09899339118416944
6900.0,4.0,custom_newton,4,7.516060044467157e-15,4.2535673021636343e+24,4.462369703502001e+20,27862328.177275643,1.5044077275306371e-16,4.811792650827551e-53,4.462369703502572e+20,1376256.0,1.1059455573558807e-09,0.17884388742536028
7100.0,4.0,custom_newton,4,8.881020487911898e-15,4.133310142895466e+24,6.535295505551094e+20,108011858.24372679,2.8593586037544062e-15,1.1024518233488436e-50,6.535295505553276e+20,2228224.0,5.238689482212067e-10,0.3124776749175113
7300.0,4.0,custom_newton,4,1.1509294623698307e-14,4.019467214130504e+24,9.374785472486676e+20,389287229.9776865,4.636986772589698e-14,1.8816276440579826e-48,9.374785472494469e+20,786432.0,4.656612873077393e-10,0.5294572524460507
7500.0,4.0,custom_newton,4,2.6596499961642027e-14,3.911470941065509e+24,1.3193740156416662e+21,1311993453.8300354,6.497839342464886e-13,2.4492389232447492e-46,1.3193740156442913e+21,1048576.0,5.820766091346741e-10,0.8721106346671071
7700.0,4.0,custom_newton,4,1.984735259389759e-14,3.8088006308281877e+24,1.8244164749961582e+21,4156358705.4170794,7.957919760811283e-12,2.483120680862104e-44,1.8244164750044677e+21,-3407872.0,-1.1641532182693481e-10,1.3995581242999027
7900.0,4.0,custom_newton,4,3.6359376554649214e-14,3.710975014691537e+24,2.4820055729154037e+21,12434926640.463934,8.605207556822233e-11,1.998283982531133e-42,2.48200557294027e+21,-3145728.0,-5.820766091346741e-11,2.192506587689709
8100.0,4.0,custom_newton,4,1.6967358511324737e-14,3.6175459141746243e+24,3.3259799587418386e+21,35281852541.23872,8.291857189031341e-10,1.2984482090311137e-40,3.325979958812405e+21,2621440.0,1.57160684466362e-09,3.3588240692868823
8300.0,4.0,custom_newton,4,1.2439904227408775e-14,3.52809287812456e+24,4.394798172483766e+21,95299521230.14113,7.179345418838989e-09,6.918388650032689e-39,4.3947981726743753e+21,9961472.0,2.6193447411060333e-09,5.03987402212863
8500.0,4.0,custom_newton,4,1.244534326014584e-14,3.4422186695273955e+24,5.731650671610156e+21,245900431959.24283,5.627766759887892e-08,3.0653246001730503e-37,5.731650672101961e+21,4194304.0,2.444721758365631e-09,7.417549130440524
8700.0,4.0,custom_newton,4,1.861822180831019e-14,3.3595455058611346e+24,7.384493365667908e+21,608019876099.4547,4.0214434512600056e-07,1.1438347267689366e-35,7.384493366883952e+21,4194304.0,2.5029294192790985e-09,10.721900063849171
8900.0,4.0,custom_newton,4,1.851578300341092e-14,3.27971197683394e+24,9.405993189532694e+21,1444790561878.4907,2.6359278226629582e-06,3.6366199887614807e-34,9.405993192422245e+21,-29360128.0,1.7462298274040222e-09,15.2392049913377
9100.0,4.0,custom_newton,4,1.5448082837863545e-14,3.2023705794800054e+24,1.1853376327187314e+22,3307888041240.1733,1.5939171513892357e-05,9.955791340672812e-33,1.1853376333803055e+22,-35651584.0,1.979060471057892e-09,21.320271838881958
9300.0,4.0,custom_newton,4,4.440056451320267e-14,3.127185823628988e+24,1.4788169730967074e+22,7314568905923.446,8.93805913128831e-05,2.3697497225656167e-31,1.4788169745596213e+22,0.0,1.8044374883174896e-09,29.388707782519436
9500.0,4.0,custom_newton,4,4.348145855701003e-14,3.0538328712908096e+24,1.8275826620927987e+22,15655437648462.434,0.0004670274850390141,4.948063415227095e-30,1.8275826652238852e+22,-10485760.0,2.9685907065868378e-09,39.94883024972741
