E_eV,Qm_A2,source,database,process,target
576,0.3626306,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
600,0.3450867,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
700,0.2879934,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
784,0.2489419,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
800,0.241313,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
900,0.204417,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
1000,0.1778972,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
1100,0.1535886,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
1160,0.1407355,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
1200,0.1318632,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
1300,0.1150128,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
1400,0.1026324,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
1440,0.09807021,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
1500,0.09126252,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
1600,0.08219933,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
1700,0.07490457,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
1760,0.06999235,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
1800,0.0681222,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
1900,0.06564044,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
2000,0.06232675,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
2200,0.05444492,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
2500,0.04430272,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
2800,0.03739217,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
3200,0.0304595,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
3600,0.02542462,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
4000,0.02107701,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
4500,0.01761559,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
5000,0.01465539,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
5600,0.01225053,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
6300,0.01004222,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
7100,0.008185971,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
8000,0.006679268,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
9000,0.005464213,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
10000,0.004558452,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
