E_eV,Qm_A2,source,database,process,target
8.05,15.729,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
8.1,15.818,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
8.15,15.905,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
8.2,15.99,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
8.25,16.074,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
8.3,16.156,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
8.35,16.236,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
8.4,16.314,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
8.45,16.391,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
8.5,16.466,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
8.55,16.539,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
8.6,16.61,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
8.65,16.68,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
8.7,16.747,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
8.75,16.813,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
8.8,16.877,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
8.85,16.938,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
8.9,16.998,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
8.95,17.056,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
9,17.113,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
9.05,17.167,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
9.1,17.219,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
9.15,17.269,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
9.2,17.318,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
9.25,17.364,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
9.3,17.409,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
9.35,17.451,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
9.4,17.492,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
9.45,17.531,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
9.5,17.567,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
9.55,17.602,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
9.6,17.635,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
9.65,17.666,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
9.7,17.695,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
9.75,17.722,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
9.8,17.747,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
9.85,17.77,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
9.9,17.792,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
9.95,17.812,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
10,17.829,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
10.05,17.845,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
10.1,17.859,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
10.15,17.872,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
10.2,17.882,LXCat:COP (Complex Optical Potential):ELASTIC,COP (Complex Optical Potential),ELASTIC,Ar
