T_K,Q_Ar,Q_Ar_p,Q_Ar2_p,Q_Ar3_p,Q_Ar4_p,Q_e
16300.000000,1.0449239063342275e+00,5.7633311808692715e+00,1.0095400519967566e+01,5.8178285941845473e+00,9.2095466331845373e+00,2.0000000000000000e+00
16500.000000,1.0511012404810034e+00,5.7661522836639936e+00,1.0124019997764258e+01,5.8636809683002271e+00,9.2435785322979154e+00,2.0000000000000000e+00
16700.000000,1.0579540674833234e+00,5.7689287807968164e+00,1.0152356217018180e+01,5.9096069955462367e+00,9.2772608352956070e+00,2.0000000000000000e+00
16900.000000,1.0655358834345754e+00,5.7716644513837831e+00,1.0180413219861036e+01,5.9555941435404645e+00,9.3106008675820942e+00,2.0000000000000000e+00
17100.000000,1.0739025491502812e+00,5.7743631304370995e+00,1.0208195086430786e+01,6.0016304295262053e+00,9.3436058182174619e+00,2.0000000000000000e+00
17300.000000,1.0831122684809467e+00,5.7770287213443510e+00,1.0235705933312101e+01,6.0477044044938122e+00,9.3762827456166047e+00,2.0000000000000000e+00
17500.000000,1.0932255600649372e+00,5.7796652081727373e+00,1.0262949912147333e+01,6.0938051374482480e+00,9.4086385827479404e+00,2.0000000000000000e+00
17700.000000,1.1043052227504111e+00,5.7822766678088602e+00,1.0289931208405818e+01,6.1399221998585265e+00,9.4406801418823623e+00,2.0000000000000000e+00
17900.000000,1.1164162949408178e+00,5.7848672819427804e+00,1.0316654040299616e+01,6.1860456503197483e+00,9.4724141189372713e+00,2.0000000000000000e+00
18100.000000,1.1296260081408260e+00,5.7874413489022034e+00,1.0343122657833471e+01,6.2321660194537198e+00,9.5038470974562408e+00,2.0000000000000000e+00
18300.000000,1.1440037349984082e+00,5.7900032953407568e+00,1.0369341341977709e+01,6.2782742950699300e+00,9.5349855522604159e+00,2.0000000000000000e+00
18500.000000,1.1596209321543867e+00,5.7925576877821587e+00,1.0395314403952208e+01,6.3243619076049429e+00,9.5658358528039820e+00,2.0000000000000000e+00
18700.000000,1.1765510782233892e+00,5.7951092440201544e+00,1.0421046184611432e+01,6.3704207158548671e+00,9.5964042662627289e+00,2.0000000000000000e+00
18900.000000,1.1948696072396985e+00,5.7976628443729403e+00,1.0446541053919013e+01,6.4164429930127875e+00,9.6266969603818975e+00,2.0000000000000000e+00
19100.000000,1.2146538379083998e+00,5.8002235427881095e+00,1.0471803410502927e+01,6.4624214130201985e+00,9.6567200061066458e+00,2.0000000000000000e+00
19300.000000,1.2359828990063735e+00,5.8027965777943837e+00,1.0496837681280860e+01,6.5083490372394595e+00,9.6864793800162001e+00,2.0000000000000000e+00
19500.000000,1.2589376512796784e+00,5.8053873832931222e+00,1.0521648321147476e+01,6.5542193014520302e+00,9.7159809665808616e+00,2.0000000000000000e+00
19700.000000,1.2836006061834331e+00,5.8080015991835010e+00,1.0546239812714740e+01,6.6000260031855582e+00,9.7452305602587774e+00,2.0000000000000000e+00
19900.000000,1.3100558418078407e+00,5.8106450818125488e+00,1.0570616666097251e+01,6.6457632893713701e+00,9.7742338674479932e+00,2.0000000000000000e+00
20100.000000,1.3383889163300782e+00,5.8133239142413808e+00,1.0594783418735428e+01,6.6914256443324662e+00,9.8029965083077943e+00,2.0000000000000000e+00
20300.000000,1.3686867793255777e+00,5.8160444163177578e+00,1.0618744635249239e+01,6.7370078781009921e+00,9.8315240184618080e+00,2.0000000000000000e+00
20500.000000,1.4010376812651737e+00,5.8188131545445430e+00,1.0642504907316193e+01,6.7825051150630431e+00,9.8598218505943667e+00,2.0000000000000000e+00
20700.000000,1.4355310815159867e+00,5.8216369517331783e+00,1.0666068853567428e+01,6.8279127829279131e+00,9.8878953759502277e+00,2.0000000000000000e+00
20900.000000,1.4722575551540615e+00,5.8245228964307234e+00,1.0689441119496340e+01,6.8732266020179242e+00,9.9157498857472977e+00,2.0000000000000000e+00
21100.000000,1.5113086988863320e+00,5.8274783521088187e+00,1.0712626377374850e+01,6.9184425748745184e+00,9.9433905925104220e+00,2.0000000000000000e+00
21300.000000,1.5527770363678817e+00,5.8305109661026027e+00,1.0735629326172193e+01,6.9635569761756217e+00,9.9708226313341690e+00,2.0000000000000000e+00
21500.000000,1.5967559231884925e+00,5.8336286782877753e+00,1.0758454691472288e+01,7.0085663429588303e+00,9.9980510610813820e+00,2.0000000000000000e+00
21700.000000,1.6433394517897228e+00,5.8368397294835752e+00,1.0781107225385663e+01,7.0534674651446148e+00,1.0025080865523799e+01,2.0000000000000000e+00
