T_K,pair,category,Q11_m2,Q22_m2,Q11_A2,Q22_A2,Ast,Bst,Cst,source,notes
7500.0,Ar-Ar+,ion-neutral,1.5960306981874126e-14,1.1970247436055858e-14,1596030.6981874127,1197024.7436055858,0.7500010776515942,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
7500.0,e-Ar,electron-neutral,1.7942470107449534e-20,1.7942470107449534e-20,1.7942470107449535,1.7942470107449535,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
7700.0,Ar-Ar,neutral-neutral,2.0143377098550606e-19,2.2720358525470853e-19,20.143377098550605,22.720358525470854,1.1279319457860753,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
7700.0,Ar-Ar+,ion-neutral,1.575166741981862e-14,1.1813766885412125e-14,1575166.741981862,1181376.6885412126,0.7500010361155885,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
7700.0,e-Ar,electron-neutral,1.8520337705959996e-20,1.8520337705959996e-20,1.8520337705959997,1.8520337705959997,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
7900.0,Ar-Ar,neutral-neutral,2.0062908678946483e-19,2.2633866872310637e-19,20.06290867894648,22.633866872310637,1.1281448385428805,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
7900.0,Ar-Ar+,ion-neutral,1.5551001851057334e-14,1.1663266895550919e-14,1555100.1851057333,1166326.689555092,0.7500009971870666,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
7900.0,e-Ar,electron-neutral,1.9106851360948068e-20,1.9106851360948068e-20,1.910685136094807,1.910685136094807,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
8100.0,Ar-Ar,neutral-neutral,1.998476169098255e-19,2.2549854758864307e-19,19.98476169098255,22.549854758864306,1.1283524471066957,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
8100.0,Ar-Ar+,ion-neutral,1.5357814953561007e-14,1.1518375968540804e-14,1535781.4953561008,1151837.5968540804,0.7500009606425194,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
