T_K,P_atm,pair,category,interaction,lambda_D_m,Tstar,Q11_m2,Q22_m2,Q14_m2,Q15_m2,Q11_A2,Q22_A2,Q14_A2,Q15_A2,Ast,Bst,Cst,source,notes
30000.0,4.0,e-__Ar2+,charged-charged,attraction,1.5210892420944976e-08,13.654224619867378,5.227069235321387e-18,5.805154955505337e-18,8.29883058688657e-19,5.836656076554117e-19,522.7069235321387,580.5154955505337,82.9883058688657,58.36656076554117,1.1106101305219298,1.1932909889363954,0.43522939757894263,Mason1967 table + Debye-Huckel screening,
300.0,0.1,e-__Ar3+,charged-charged,attraction,0.00011952706071189929,715.2985242187417,2.7749381514598346e-13,2.9846467333762687e-13,3.5693858147850744e-14,2.452399663996592e-14,27749381.514598347,29846467.333762687,3569385.8147850744,2452399.663996592,1.0755892333795598,1.1020560476850854,0.3849169250346698,Mason1967 table + Debye-Huckel screening,
500.0,0.1,e-__Ar3+,charged-charged,attraction,0.0001543087718527696,1539.0773732588498,1.1190916139417282e-13,1.1954474493136485e-13,1.405848203559326e-14,9.637000812045068e-15,11190916.139417281,11954474.493136484,1405848.203559326,963700.0812045068,1.069104216019328,1.0929870230719207,0.38019669642259857,Mason1967 table + Debye-Huckel screening,
700.0,0.1,e-__Ar3+,charged-charged,attraction,0.00018258060110262027,2549.485269117568,6.114732533416267e-14,6.505786419394531e-14,7.579542188169678e-15,5.187715497668264e-15,6114732.5334162675,6505786.419394531,757954.2188169678,518771.54976682644,1.0652464358774225,1.0877044945821523,0.3775006341643351,Mason1967 table + Debye-Huckel screening,
900.0,0.1,e-__Ar3+,charged-charged,attraction,0.0002070269420323794,3716.8001595776936,3.882065441941059e-14,4.1192991085281585e-14,4.768982725454735e-15,3.2606397905813133e-15,3882065.441941059,4119299.1085281586,476898.2725454735,326063.97905813134,1.0623650218846008,1.0837589220124362,0.3754869187034426,Mason1967 table + Debye-Huckel screening,
1100.0,0.1,e-__Ar3+,charged-charged,attraction,0.00022887689607201992,5022.205446317596,2.6965715652271264e-14,2.855739118871976e-14,3.2907195283099894e-15,2.2481637225828055e-15,2696571.5652271262,2855739.1188719757,329071.9528309989,224816.37225828055,1.0600642572456218,1.0806084431601979,0.37387899796142887,Mason1967 table + Debye-Huckel screening,
1300.0,0.1,e-__Ar3+,charged-charged,attraction,0.00024881541830008494,6452.388008449311,1.9889936379895286e-14,2.1031673625114575e-14,2.4146437113969775e-15,1.6486254528106899e-15,1988993.6379895287,2103167.3625114574,241464.37113969776,164862.54528106897,1.0581489196328984,1.0779857365427756,0.37254043815253696,Mason1967 table + Debye-Huckel screening,
1500.0,0.1,e-__Ar3+,charged-charged,attraction,0.00026727063290255123,7997.2806217919315,1.5314740152633792e-14,1.6173685519007258e-14,1.8513480666925768e-15,1.2633897490889996e-15,1531474.015263379,1617368.5519007258,185134.80666925767,126338.97490889997,1.056508214894729,1.0757390897138048,0.3713938092730208,Mason1967 table + Debye-Huckel screening,
1700.0,0.1,e-__Ar3+,charged-charged,attraction,0.00028453131644937493,9648.922740861995,1.2178727016621607e-14,1.2848391629393208e-14,1.4670209644971199e-15,1.0006923371050866e-15,1217872.7016621607,1284839.1629393208,146702.09644971197,100069.23371050866,1.0550731726094125,1.0737740602208432,0.37039091040316896,Mason1967 table + Debye-Huckel screening,
1900.0,0.1,e-__Ar3+,charged-charged,attraction,0.00026384360036571687,10000.0,9.788662998905474e-15,1.0324908260714634e-14,1.1783399146116465e-15,8.037118014472534e-16,978866.2998905474,1032490.8260714634,117833.99146116465,80371.18014472534,1.0548,1.0734,0.3702,Mason1967 table + Debye-Huckel screening,
